index		properties.$latest_referrer_host
datadang.com	"'datadang.com',"	1
www.qixin.com	"'www.qixin.com',"	1
www.mulumu.com	"'www.mulumu.com',"	1
mail.haituncun.com	"'mail.haituncun.com',"	1
lnkd.in	"'lnkd.in',"	1
www.tianyancha.com	"'www.tianyancha.com',"	1
www.google.fr	"'www.google.fr',"	1
huaban.com	"'huaban.com',"	1
sc.zhugefang.com	"'sc.zhugefang.com',"	1
data.corp.36kr.com	"'data.corp.36kr.com',"	1
my.worktile.com	"'my.worktile.com',"	1
tieba.baidu.com	"'tieba.baidu.com',"	1
shouce.kuchuan.com	"'shouce.kuchuan.com',"	1
www.juudian.com	"'www.juudian.com',"	1
confluence.km.co-mall	"'confluence.km.co-mall',"	1
ad.bytedance.net	"'ad.bytedance.net',"	1
mail.linkprofit.cn	"'mail.linkprofit.cn',"	1
zhaopin.baidu.com	"'zhaopin.baidu.com',"	1
uxren.cn	"'uxren.cn',"	1
www.google.co.zm	"'www.google.co.zm',"	1
www.xfz.cn	"'www.xfz.cn',"	1
www.imgeek.org	"'www.imgeek.org',"	1
confluence.bbtree.com	"'confluence.bbtree.com',"	1
